index,seq_number,content_encripted,high_security,n_forwards,destination,timestamp_sent,timestamp_received,latency,l_1,l_2
248,248,C2C476C4FC450000,true,3,192.168.1.112,1623412844366,1623412844379,13,,13
249,249,mmvb43qlvcl,false,1,192.168.1.114,1623412844377,1623412844381,4,4,
250,250,k9kah9wbhlq,false,1,192.168.1.114,1623412844388,1623412844396,8,8,
251,251,B314E70BA39F0000,true,3,192.168.1.112,1623412844402,1623412844412,10,,10
252,252,1b5zpdy4jcu,false,1,192.168.1.114,1623412844413,1623412844416,3,3,
253,253,pi7e1mkfmoi,false,1,192.168.1.114,1623412844424,1623412844428,4,4,
254,254,8u6zsmr9lvs,false,1,192.168.1.114,1623412844435,1623412844439,4,4,
255,255,v3dv9hr5vv,false,1,192.168.1.114,1623412844446,1623412844450,4,4,
256,256,y4q1zprsbjo,false,1,192.168.1.114,1623412844457,1623412844461,4,4,
257,257,5eie617qqhi,false,1,192.168.1.114,1623412844469,1623412844472,3,3,
258,258,5232639DD3AF0001,true,3,192.168.1.112,1623412844483,1623412844494,11,,11
259,259,C0147509D3DF0000,true,3,192.168.1.112,1623412844499,1623412844509,10,,10
260,260,zczawwe79n,false,1,192.168.1.114,1623412844510,1623412844513,3,3,
261,261,dsmifdxt4f5,false,1,192.168.1.114,1623412844522,1623412844525,3,3,
262,262,B24C13E1639A0000,true,3,192.168.1.112,1623412844537,1623412844548,11,,11
263,263,b53ro63tre7,false,1,192.168.1.114,1623412844549,1623412844552,3,3,
264,264,p3w4ocek3hq,false,1,192.168.1.114,1623412844560,1623412844563,3,3,
265,265,dfahhzkkpwj,false,1,192.168.1.114,1623412844571,1623412844574,3,3,
266,266,sbezxrwhgol,false,1,192.168.1.114,1623412844581,1623412844585,4,4,
267,267,C1149744088A0000,true,3,192.168.1.112,1623412844596,1623412844606,10,,10
268,268,40C47F0993CF0000,true,3,192.168.1.112,1623412844612,1623412844622,10,,10
269,269,5jbgypw385e,false,1,192.168.1.114,1623412844623,1623412844626,3,3,
